x,y,y_train,y_test
1.5179899,2012.2405,2015.886,2013.535
1.5694472,2011.5261,2011.2335,2012.6019
1.6209044,2009.878,2006.3528,2006.721
1.6723617,2007.4838,2004.0387,2008.6594
1.723819,2004.6091,2003.1268,2002.9952
1.7752763,2001.5701,2002.4994,1998.6842
1.8267336,1998.7003,1999.9535,1997.4825
1.8781909,1996.3162,1993.5563,1991.9119
1.9296482,1994.6847,1994.6378,1996.7935
1.9811054,1993.9951,1996.1533,1993.2277
2.0325627,1994.3398,1995.1984,1990.9777
2.0840201,1995.7046,1998.3857,1999.427
2.1354773,1997.9697,1996.9337,1998.0605
2.1869345,2000.9231,2000.3986,2004.5715
2.2383919,2004.2817,2005.9641,2001.2805
2.2898493,2007.7212,2010.0896,2007.987
2.3413064,2010.909,2007.7363,2009.8047
2.3927636,2013.5399,2017.4775,2012.5906
2.444221,2015.3663,2017.1703,2015.515
2.4956784,2016.2247,2012.7832,2017.9008
2.5471356,2016.0525,2013.5195,2015.6143
2.5985928,2014.8945,2016.6001,2019.128
2.6500502,2012.8981,2013.0903,2010.8593
2.7015076,2010.2981,2010.3976,2007.2922
2.7529647,2007.3926,2006.3456,2008.4889
2.804422,2004.5116,2004.676,2007.1525
2.8558793,2001.9834,2000.8073,2005.1129
2.9073367,2000.1002,2001.315,1999.0245
2.9587939,1999.0878,1999.2219,1999.4486
3.010251,1999.0824,1997.5046,1997.4369
3.0617085,2000.1163,1999.8351,2001.6631
3.1131659,2002.115,1999.4266,2001.6737
3.164623,2004.904,2007.1599,2005.1212
3.2160802,2008.228,2006.8407,2009.3634
3.2675376,2011.7765,2010.474,2016.1261
3.318995,2015.2163,2013.747,2014.773
3.3704522,2018.2261,2020.8302,2019.1107
3.4219093,2020.5297,2022.9402,2022.4215
3.4733667,2021.9246,2022.425,2024.0559
3.5248241,2022.303,2022.6807,2024.2632
3.5762813,2021.663,2023.3687,2020.912
3.6277385,2020.1089,2022.382,2018.4664
3.679196,2017.84,2012.9718,2021.2866
3.7306533,2015.1304,2015.8961,2013.5713
3.7821105,2012.3004,2012.6447,2009.1659
3.8335676,2009.6835,2012.444,2009.4216
3.885025,2007.5913,2008.7428,2009.7379
3.9364824,2006.2817,2006.9268,2009.4592
3.9879396,2005.9324,2006.622,2008.3597
4.039397,2006.6216,2009.9237,2006.597
4.090854,2008.3207,2009.467,2006.5138
4.1423116,2010.8971,2009.188,2009.9979
4.1937685,2014.1276,2014.0332,2016.8551
4.245226,2017.722,2015.3729,2017.3698
4.2966833,2021.3528,2022.0557,2020.6858
4.3481407,2024.6893,2025.6501,2024.1948
4.399598,2027.4318,2027.57,2028.2208
4.451055,2029.3428,2031.6456,2027.3114
4.5025125,2030.2714,2030.1987,2027.9648
4.55397,2030.1692,2035.0626,2032.7155
4.605427,2029.0951,2030.9124,2031.483
4.656884,2027.2091,2028.4294,2029.4131
4.7083416,2024.7561,2023.6022,2024.017
4.759799,2022.0404,2022.856,2026.7144
4.8112564,2019.3937,2022.1543,2018.905
4.8627133,2017.1414,2017.8289,2021.2239
4.9141707,2015.5682,2014.7366,2016.8499
4.965628,2014.8898,2011.0022,2014.8776
5.017085,2015.2288,2012.2185,2014.1772
5.0685425,2016.6033,2019.309,2015.7069
5.12,2018.9247,2019.3163,2021.7214
